"module name","license","repository"
"@probe.gl/env@3.6.0","MIT","https://github.com/uber-web/probe.gl"
"@probe.gl/log@3.6.0","MIT","https://github.com/uber-web/probe.gl"
"@probe.gl/stats@3.6.0","MIT","https://github.com/uber-web/probe.gl"
"@rollup/plugin-inject@5.0.3","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-virtual@3.0.1","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils@5.0.2","MIT","https://github.com/rollup/plugins"
"@scena/event-emitter@1.0.5","MIT","https://github.com/daybrush/gesture"
"@sindresorhus/is@4.6.0","MIT","https://github.com/sindresorhus/is"
"@sveltejs/adapter-auto@2.1.0","MIT","https://github.com/sveltejs/kit"
"@sveltejs/adapter-static@2.0.2","MIT","https://github.com/sveltejs/kit"
"@sveltejs/kit@1.18.0","MIT","https://github.com/sveltejs/kit"
"@sveltejs/vite-plugin-svelte@2.2.0","MIT","https://github.com/sveltejs/vite-plugin-svelte"
"@swc/core-linux-x64-gnu@1.3.61","Apache-2.0 AND MIT","https://github.com/swc-project/swc"
"@swc/core-linux-x64-musl@1.3.61","Apache-2.0 AND MIT","https://github.com/swc-project/swc"
"@swc/core@1.3.61","Apache-2.0","https://github.com/swc-project/swc"
"@szmarczak/http-timer@4.0.6","MIT","https://github.com/szmarczak/http-timer"
"@tauri-apps/api@1.5.1","Apache-2.0 OR MIT","https://github.com/tauri-apps/tauri"
"@tauri-apps/cli-linux-x64-gnu@1.5.6","MIT",""
"@tauri-apps/cli-linux-x64-musl@1.5.6","MIT",""
"@tauri-apps/cli@1.5.6","Apache-2.0 OR MIT","https://github.com/tauri-apps/tauri"
"@tootallnate/once@2.0.0","MIT","https://github.com/TooTallNate/once"
"@tweenjs/tween.js@18.6.4","MIT","https://github.com/tweenjs/tween.js"
"@types/bcryptjs@2.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cacheable-request@6.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookie@0.5.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cornerstone-core@2.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-array@3.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-color@3.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-interpolate@3.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-timer@2.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/debug@4.1.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint-scope@3.7.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint@8.40.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@1.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eventsource@1.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/fs-extra@8.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/fs-extra@9.0.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/glob@7.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-cache-semantics@4.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/keyv@3.1.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.197","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/minimatch@5.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mousetrap@1.6.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@0.7.31","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@18.16.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/path-browserify@1.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/pug@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/responselike@1.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/semver@7.5.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stats.js@0.17.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/three@0.152.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/webxr@0.5.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yauzl@2.10.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript-eslint/eslint-plugin@5.59.6","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/parser@5.59.6","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/scope-manager@5.59.6","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/type-utils@5.59.6","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@5.59.6","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@5.59.6","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
